chr10	127296220	127311786	Mars	0	-	127296293	127311629	0	21	220,93,72,187,105,132,214,118,96,171,75,202,204,117,107,179,76,135,79,91,266,	0,320,652,1245,1514,1701,3027,3728,3957,4189,6591,7964,9201,9520,12037,12280,12687,13783,13999,14223,15300,
chr9	108296921	108301597	Amt	0	+	108296935	108301498	0	9	104,168,81,132,79,146,181,156,278,	0,206,790,1846,2458,2823,3612,4151,4398,
chr19	45363733	45533343	Btrc	0	+	45363838	45527425	0	15	153,108,78,90,232,187,97,138,119,250,119,111,79,193,4371,	0,59399,92799,107281,139198,143950,148911,149653,150274,152124,153281,155075,155708,163530,165239,
chr1	64730557	64737750	Fzd5	0	-	64734842	64736600	0	2	6296,511,	0,6682,
chr13	12186539	12258113	Mtr	0	-	12187004	12253973	0	33	552,113,193,201,197,156,76,99,82,121,68,101,108,153,90,141,117,180,186,141,113,80,68,62,101,95,63,107,93,70,90,215,252,	0,1501,2807,3664,7074,8698,11373,12506,13657,18203,18750,25848,26131,28873,30270,34882,35615,38922,41144,44405,46362,48917,51441,53109,55025,57395,58015,60779,61353,63305,64062,67224,71322,
chr17	47505050	47599688	Ccnd3	0	+	47593654	47598776	0	7	216,65,199,216,160,137,1080,	0,73658,88603,89683,92369,92952,93558,
chr17	47505050	47599688	Ccnd3	0	+	47593654	47598776	0	7	216,65,244,216,160,137,1080,	0,73658,88558,89683,92369,92952,93558,
chr11	3917079	3932078	Tcn2	0	-	3917647	3931456	0	10	630,116,166,187,173,162,170,193,195,66,	0,2210,4931,6316,6622,7861,8920,10310,14313,14933,
chr11	3917077	3931961	Tcn2	0	-	3917647	3931456	0	10	632,116,166,187,173,162,170,193,195,35,	0,2212,4933,6318,6624,7863,8922,10312,14315,14849,
chr4	149545116	149566437	Ctnnbip1	0	+	149545735	149564263	0	4	118,121,91,2233,	0,594,1285,19088,
chr17	26138685	26195811	Axin1	0	+	26142683	26195061	0	10	356,959,141,97,138,518,171,246,168,877,	0,3932,34954,43804,45491,49018,49888,51300,55253,56249,
chr7	86718975	86775864	Folh1	0	-	86719658	86775759	0	18	873,93,82,265,91,92,68,64,83,120,86,94,187,126,102,187,109,226,	0,4300,6433,6907,10098,12750,15116,17473,23195,25395,27136,37962,42725,43941,49160,52727,54222,56663,
chr4	148041188	148059562	Mthfr	0	+	148041211	148055588	0	12	133,246,239,111,194,251,135,181,183,102,120,4190,	0,395,2236,3255,6884,10183,10676,10910,11325,12391,13796,14184,
chr15	39006279	39038190	Fzd6	0	+	39007386	39036554	0	7	153,339,197,1018,149,420,1805,	0,945,19386,24535,27570,28528,30106,
chr15	85535436	85580729	Wnt7b	0	-	85537388	85558999	0	4	2432,272,227,479,	0,8232,23466,44814,
chr15	85535436	85578070	Wnt7b	0	-	85537388	85577590	0	4	2432,272,227,563,	0,8232,23466,42071,
chr8	88527632	88594887	Nkd1	0	+	88583255	88592152	0	8	145,67,107,96,148,85,128,3328,	0,46565,55570,57521,61521,62095,63090,63927,
chr2	34804363	34823181	Fbxw2	0	-	34805710	34823047	0	6	1636,170,87,134,195,624,	0,2914,4150,6619,8451,18194,
chr2	34806252	34826235	Fbxw2	0	-	34807273	34823047	0	7	1195,87,134,195,510,109,64,	0,2261,4730,6562,16305,19709,19919,
chr2	34804363	34826235	Fbxw2	0	-	34805710	34822660	0	8	1636,170,87,134,195,418,109,64,	0,2914,4150,6619,8451,18194,21598,21808,
chr2	34811160	34826235	Fbxw2	0	-	34812761	34823047	0	4	1849,510,109,64,	0,11397,14801,15011,
chr9	120933577	120960507	Ctnnb1	0	+	120950220	120959517	0	15	39,61,228,254,239,202,145,104,339,159,120,151,122,61,1199,	0,16595,16944,17316,17689,18008,19281,21570,21751,22236,23529,23939,24181,25014,25731,
chr7	132987010	133015247	Ctbp2	0	-	132988170	133015204	0	9	1341,118,128,131,215,207,145,155,1730,	0,2979,3420,4028,4551,8148,11796,12180,26507,
chr10	3973074	4167081	Mthfd1l	0	+	3973254	4148098	0	28	404,85,51,54,125,101,137,112,92,98,174,137,47,108,75,103,77,141,69,112,140,42,101,178,108,153,118,601,	0,5559,7141,7276,11009,12491,16786,34667,42439,43649,45351,55320,57615,59157,60214,62141,68698,74756,75125,83675,110662,115159,116220,116921,130161,133302,174934,193406,
chr10	3973074	4156130	Mthfd1l	0	+	3973254	4148098	0	28	404,85,51,54,125,101,137,112,92,98,174,137,47,108,75,103,77,141,69,112,140,42,101,178,108,153,118,481,	0,5559,7141,7276,11009,12491,16786,34667,42439,43649,45351,55320,57615,59157,60214,62141,68698,74756,75125,83675,110662,115159,116220,116921,130161,133302,174934,182575,
chr6	29768442	29912310	Ahcyl2	0	+	29768537	29909046	0	17	464,109,144,101,103,95,107,117,64,89,71,95,99,69,79,121,3271,	0,94700,102125,102743,110086,112106,115180,117675,122238,122758,126376,127879,134746,138065,138238,139904,140597,
chr6	29859595	29912310	Ahcyl2	0	+	29859722	29909046	0	17	184,109,144,101,103,95,107,117,64,89,71,95,99,69,79,121,3271,	0,3547,10972,11590,18933,20953,24027,26522,31085,31605,35223,36726,43593,46912,47085,48751,49444,
chr10	127296220	127311786	Mars	0	-	127296293	127311629	0	22	220,93,24,72,187,105,132,214,118,96,171,75,202,204,117,107,179,76,135,79,91,266,	0,320,496,652,1245,1514,1701,3027,3728,3957,4189,6591,7964,9201,9520,12037,12280,12687,13783,13999,14223,15300,
chr15	61985340	61990361	Myc	0	+	61987521	61989908	0	3	611,772,1016,	0,2166,4005,
chr15	61985340	61990361	Myc	0	+	61985921	61989908	0	3	611,769,1016,	0,2169,4005,
chr15	61985340	61990361	Myc	0	+	61987521	61989908	0	3	611,769,1016,	0,2169,4005,
chr17	25260510	25273914	Ube2i	0	-	25262427	25269468	0	8	1981,80,110,73,84,77,228,594,	0,4255,4608,8030,8681,8892,12027,12810,
chr17	25260510	25273431	Ube2i	0	-	25262427	25269468	0	7	1981,80,110,73,84,77,111,	0,4255,4608,8030,8681,8892,12810,
chr5	33247722	33275004	Ctbp1	0	-	33248499	33274818	0	9	961,118,128,131,215,207,145,155,226,	0,1384,1864,2648,3135,11415,13286,19160,27056,
chr5	33247722	33275004	Ctbp1	0	-	33248499	33269448	0	10	961,118,128,131,215,207,145,155,193,226,	0,1384,1864,2648,3135,11415,13286,19160,21719,27056,
chr5	33247722	33275004	Ctbp1	0	-	33248499	33269448	0	10	964,118,128,131,215,207,145,155,193,226,	0,1384,1864,2648,3135,11415,13286,19160,21719,27056,
chr10	77032738	77050432	Slc19a1	0	+	77038396	77049806	0	6	42,230,754,193,142,893,	0,5611,9077,10043,12022,16801,
chr11	40679313	40695203	Mat2b	0	-	40680023	40694832	0	7	881,114,194,153,115,195,401,	0,1342,3150,5368,5913,8287,15489,
