#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Gsk3b	Ctnnb1	2095854	2093883	10090.ENSMUSP00000023507	10090.ENSMUSP00000007130	0	0	0	0	0	0.995	0.954	0.978	0.999
Axin1	Ctnnb1	2105990	2093883	10090.ENSMUSP00000073974	10090.ENSMUSP00000007130	0	0	0	0	0	0.996	0.961	0.980	0.999
Lrp6	Gsk3b	2098447	2095854	10090.ENSMUSP00000032322	10090.ENSMUSP00000023507	0	0	0	0	0	0.751	0.954	0.964	0.999
Gart	Mthfd1	2095908	2095182	10090.ENSMUSP00000023684	10090.ENSMUSP00000021443	0.587	0	0	0	0.953	0	0.900	0.712	0.999
Mapk8	Jun	2111593	2102864	10090.ENSMUSP00000107576	10090.ENSMUSP00000054270	0	0	0	0	0	0.999	0.946	0.993	0.999
Ctnnb1	Cdh1	2093883	2093091	10090.ENSMUSP00000007130	10090.ENSMUSP00000000312	0	0	0	0	0	0.999	0.922	0.972	0.999
Mapk8	Fos	2111593	2095256	10090.ENSMUSP00000107576	10090.ENSMUSP00000021674	0	0	0	0	0	0.559	0.950	0.986	0.999
Apc	Ctnnb1	2106775	2093883	10090.ENSMUSP00000078337	10090.ENSMUSP00000007130	0	0	0	0	0	0.997	0.954	0.480	0.999
Ccnd3	Cdk4	2100390	2093868	10090.ENSMUSP00000040488	10090.ENSMUSP00000006911	0	0	0	0	0	0.990	0.908	0.890	0.999
Lrp6	Dkk1	2098447	2096415	10090.ENSMUSP00000032322	10090.ENSMUSP00000025803	0	0	0	0	0	0.976	0.961	0.970	0.999
Ctnnbip1	Ctnnb1	2097981	2093883	10090.ENSMUSP00000030839	10090.ENSMUSP00000007130	0	0	0	0	0	0.990	0.954	0.792	0.999
Lrp6	Dvl1	2098447	2098025	10090.ENSMUSP00000032322	10090.ENSMUSP00000030948	0	0	0	0	0	0.268	0.961	0.970	0.999
Btrc	Gsk3b	2105396	2095854	10090.ENSMUSP00000070728	10090.ENSMUSP00000023507	0	0	0	0	0	0.999	0	0.667	0.999
Axin1	Lrp5	2105990	2096438	10090.ENSMUSP00000073974	10090.ENSMUSP00000025856	0	0	0	0	0	0.887	0.900	0.970	0.999
Jun	Fos	2102864	2095256	10090.ENSMUSP00000054270	10090.ENSMUSP00000021674	0	0	0	0	0.554	0.995	0.961	0.998	0.999
Wnt5a	Lrp6	2104589	2098447	10090.ENSMUSP00000064878	10090.ENSMUSP00000032322	0	0	0	0	0	0.636	0.908	0.972	0.999
Cdk4	Ccnd2	2093868	2093069	10090.ENSMUSP00000006911	10090.ENSMUSP00000000188	0	0	0	0	0	0.956	0.922	0.874	0.999
Btrc	Ctnnb1	2105396	2093883	10090.ENSMUSP00000070728	10090.ENSMUSP00000007130	0	0	0	0	0	0.955	0.961	0.626	0.999
Paics	Gart	2098091	2095908	10090.ENSMUSP00000031160	10090.ENSMUSP00000023684	0.587	0	0.413	0	0.982	0.958	0.900	0.784	0.999
Axin1	Gsk3b	2105990	2095854	10090.ENSMUSP00000073974	10090.ENSMUSP00000023507	0	0	0	0	0	0.996	0.954	0.991	0.999
Dvl1	Wnt3a	2098025	2094044	10090.ENSMUSP00000030948	10090.ENSMUSP00000010044	0	0	0	0	0	0.270	0.941	0.979	0.999
Ccnd1	Cdk4	2108527	2093868	10090.ENSMUSP00000091495	10090.ENSMUSP00000006911	0	0	0	0	0.101	0.999	0.961	0.921	0.999
Atic	Gart	2096883	2095908	10090.ENSMUSP00000027384	10090.ENSMUSP00000023684	0.587	0	0.468	0	0.988	0	0.900	0.796	0.999
Lrp6	Wnt1	2098447	2095926	10090.ENSMUSP00000032322	10090.ENSMUSP00000023734	0	0	0	0	0	0.900	0.961	0.909	0.999
Axin1	Lrp6	2105990	2098447	10090.ENSMUSP00000073974	10090.ENSMUSP00000032322	0	0	0	0	0	0.955	0.954	0.988	0.999
Axin1	Dvl1	2105990	2098025	10090.ENSMUSP00000073974	10090.ENSMUSP00000030948	0	0	0	0	0	0.792	0.961	0.990	0.999
Nkd1	Dvl1	2098988	2098025	10090.ENSMUSP00000034086	10090.ENSMUSP00000030948	0	0	0	0	0	0.828	0.922	0.963	0.999
Ppp2ca	Ppp2r1a	2094923	2093917	10090.ENSMUSP00000020608	10090.ENSMUSP00000007708	0	0	0	0	0.164	0.986	0.954	0.758	0.999
Dnmt3a	Dnmt1	2095036	2093584	10090.ENSMUSP00000020991	10090.ENSMUSP00000004202	0	0	0	0	0	0.561	0.900	0.968	0.998
Apc	Axin1	2106775	2105990	10090.ENSMUSP00000078337	10090.ENSMUSP00000073974	0	0	0	0	0	0.965	0.954	0.344	0.998
Gsk3b	Myc	2095854	2095683	10090.ENSMUSP00000023507	10090.ENSMUSP00000022971	0	0	0	0	0	0.784	0.908	0.948	0.998
Fzd8	Wnt3a	2100231	2094044	10090.ENSMUSP00000039660	10090.ENSMUSP00000010044	0	0	0	0	0	0.613	0.943	0.955	0.998
Apc	Gsk3b	2106775	2095854	10090.ENSMUSP00000078337	10090.ENSMUSP00000023507	0	0	0	0	0.102	0.937	0.954	0.527	0.998
Jun	Fosl1	2102864	2096435	10090.ENSMUSP00000054270	10090.ENSMUSP00000025850	0	0	0	0	0	0.907	0.559	0.961	0.998
Mthfd1l	Gart	2099574	2095908	10090.ENSMUSP00000036178	10090.ENSMUSP00000023684	0.587	0	0	0	0.923	0	0.900	0.690	0.998
Dkk1	Wnt3a	2096415	2094044	10090.ENSMUSP00000025803	10090.ENSMUSP00000010044	0	0	0	0	0	0.510	0.947	0.931	0.998
Gcsh	Amt	2099753	2099395	10090.ENSMUSP00000037131	10090.ENSMUSP00000035230	0.454	0	0.524	0	0.965	0.525	0	0.550	0.997
Ppp2r1a	Ppp2r5d	2093917	2093420	10090.ENSMUSP00000007708	10090.ENSMUSP00000002839	0	0	0	0	0.111	0.955	0.800	0.684	0.997
